;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
64;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7815999984741211
65;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.7789999842643738
66;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8019000291824341
67;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.828499972820282
68;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8100000023841858
69;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.7962999939918518
70;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.8104000091552734
71;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.809499979019165
72;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8037999868392944
73;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8309000134468079
74;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.8108999729156494
75;32;3;128;5;256;5;0.8777280049368434;0.7848616923537758;0.9968780512883318;0.9988711539512382;64;64;0.8184000253677368
76;32;3;128;5;256;5;0.8862619679463283;0.9093223491980038;0.8647178722051541;0.7482731837996716;64;64;0.8303999900817871
77;32;3;128;5;256;5;0.8141184529452739;0.8587976031389287;0.9628453848004944;0.7460747146409221;256;64;0.8396999835968018
78;32;3;128;5;256;5;0.8085705547337607;0.7736999003772791;0.9637982232923232;0.7475586699505481;256;64;0.8320999741554259
79;32;3;128;5;256;5;0.7956689731456628;0.8494972119114759;0.999737067973028;0.9031506879983254;256;64;0.8203999996185303
80;32;3;128;5;256;5;0.7414669637654561;0.9222434154574102;0.8598703156982949;0.7298031527021469;256;64;0.8345999717712402
81;32;3;128;5;256;5;0.736700871603753;0.9128498255976644;0.8269928849298044;0.7311799776585712;256;256;0.8263999819755554
82;32;3;128;5;256;5;0.8213448700838677;0.8533165774530161;0.8644655178798945;0.7640231716234254;256;64;0.8309000134468079
83;32;3;128;5;256;5;0.7630505541696737;0.7489614650732055;0.7996435956143372;0.7012928789189196;256;256;0.8299999833106995
84;32;3;128;5;256;5;0.7844225612912546;0.8030844928478189;0.7054529485981464;0.7185789444622713;256;64;0.8323000073432922
85;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8263999819755554
86;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8187000155448914
87;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8003000020980835
88;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8112000226974487
89;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8313999772071838
90;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.8151999711990356
91;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.810699999332428
92;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.821399986743927
93;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.8109999895095825
